2025-11-19 10:10:58,114 [DEBUG] Using proactor: _IocpProactor
2025-11-19 10:10:58,367 [DEBUG] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-11-19 10:10:58,368 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,368 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-19 10:10:58,369 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,370 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,371 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,371 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,372 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,373 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-19 10:10:58,374 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-19 10:10:58,375 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 5.05
2025-11-19 10:10:58,375 [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\apc03\\.virtualenvs\\PE_Spectroradiometer-H2CzR1eS\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
